document_id,source_id,publisher,title,url,publication_date,retrieved_date,document_type,content_hash,local_file,word_count,review_status
delivery-89aec627d08a,source-campaign-home,yakubuadamuphd.com,Dr. Yakubu Adamu | Political Campaign,https://yakubuadamuphd.com/en,,2026-09-24,public_web_page,527c462bade3954a2eeaf9ac5a450efcbc8d85925d687f04a59302ef39c0a6b5,source_snapshots/delivery-89aec627d08a.html,825,context_only
delivery-6fcb456fbde2,source-apm-home,apm.org.ng,Home - APM: Allied People's Movement,https://apm.org.ng/,2024-06-16,2026-09-24,public_web_page,6b162764284fb649f4eec31bba168ee8a643f80b3e572928a86ea54fab2b5ea0,source_snapshots/delivery-6fcb456fbde2.html,589,context_only
delivery-e421cbace82c,source-basg-health,home.bauchistate.gov.ng,"UNICEF Offers Free Maternal, Child Health Services In Bauchi – Bauchi State Government",https://home.bauchistate.gov.ng/unicef-offers-free-maternal-child-health-services-in-bauchi/,2026-07-02,2026-09-24,public_web_page,6c220bf30a52c6fe0ef0dbc28ad533f221ce5baa916de2ba896b84b553f9de5c,source_snapshots/delivery-e421cbace82c.html,284,published_source
delivery-85612f150c52,source-basg-nutrition,home.bauchistate.gov.ng,"Bauchi Govt, UNICEF Commit N1bn To Tackle Malnutrition, Distribute Therapeutic Food – Bauchi State Government",https://home.bauchistate.gov.ng/bauchi-govt-unicef-commit-n1bn-to-tackle-malnutrition-distribute-therapeutic-food/,2026-06-30,2026-09-24,public_web_page,300f717b322b6910b547060c7f204cfb36b58fac25f32aa9403c1efbfc68e2d7,source_snapshots/delivery-85612f150c52.html,341,published_source
delivery-703d89cea88e,source-basg-sazu,home.bauchistate.gov.ng,NUC Approves 12 New Academic Programmes for Sa’adu Zungur University Bauchi – Bauchi State Government,https://home.bauchistate.gov.ng/nuc-approves-12-new-academic-programmes-for-saadu-zungur-university-bauchi/,2026-07-02,2026-09-24,public_web_page,ecf62fa8877ce68dae211ee657a39b4e884f9759cf46d38bd42aecff00cd11d9,source_snapshots/delivery-703d89cea88e.html,488,published_source
delivery-c4cc5f93eb6e,source-acresal,acresal.gov.ng,"Bauchi State Governor Launches ACReSAL Project, Plans to Construct Over 100 Earth Dams Across the State - ACReSAL",https://acresal.gov.ng/bauchi-state-governor-launches-acresal-project-plans-to-construct-over-100-earth-dams-across-the-state,2023-05-26,2026-09-24,public_web_page,dfd14dcf834f182769b536aecb656e1e191ef5bb606a1c0839b7795a16dd899f,source_snapshots/delivery-c4cc5f93eb6e.html,910,published_source
delivery-c879749ea814,source-basg-mtss,home.bauchistate.gov.ng,Bauchi Govt Begins Development of 2026–2028 Medium-Term Sector Strategy in Key Service Areas – Bauchi State Government,https://home.bauchistate.gov.ng/bauchi-govt-begins-development-of-2026-2028-medium-term-sector-strategy-in-key-service-areas,2025-08-18,2026-09-24,public_web_page,2ba07985d03da5d9172f314a3ef01f43308437141b805ede925ee3fb8f6ee53f,source_snapshots/delivery-c879749ea814.html,272,published_source
delivery-f109c3e293fe,discovery-f109c3e293fe,home.bauchistate.gov.ng,News Room – Bauchi State Government,https://home.bauchistate.gov.ng/news-room/,2026-07-02,2026-09-24,public_web_page,df05733b1449645de67a4594fd5ec3cd2c0175132429febfa263a2601304e800,source_snapshots/delivery-f109c3e293fe.html,36,duplicate_source
delivery-9c036850db70,discovery-9c036850db70,home.bauchistate.gov.ng,News Room – Page 2 – Bauchi State Government,https://home.bauchistate.gov.ng/news-room/page/2,2026-07-02,2026-09-24,public_web_page,b839adb093dfb15bc09479cac0cdcaec7da088fdd01f10154e2a28ac8bcb51bb,source_snapshots/delivery-9c036850db70.html,36,duplicate_source
delivery-99bbe9371511,discovery-99bbe9371511,home.bauchistate.gov.ng,News Room – Page 3 – Bauchi State Government,https://home.bauchistate.gov.ng/news-room/page/3,2026-07-02,2026-09-24,public_web_page,7836c8a17a4edbd7a8ef53ff907229560de7532c5fd0d9f79fb231d586db2dda,source_snapshots/delivery-99bbe9371511.html,36,duplicate_source
delivery-8d01196b6724,discovery-8d01196b6724,home.bauchistate.gov.ng,Services Dashboard – Bauchi State Government,https://home.bauchistate.gov.ng/services-dashboard/,,2026-09-24,public_web_page,2fc2e985455bbcd09ae8022697b7608889d1ac0254d5cfcac78f428f5e85af1e,source_snapshots/delivery-8d01196b6724.html,152,not_achievement
delivery-99d3c0e55dfc,discovery-99d3c0e55dfc,home.bauchistate.gov.ng,Investment – Bauchi State Government,https://home.bauchistate.gov.ng/investment/,,2026-09-24,public_web_page,2e24589fd44e46db3c79847296fd1c26ec76cbb7d1a20ad698f6a92796d0de0f,source_snapshots/delivery-99d3c0e55dfc.html,164,not_achievement
delivery-96997129eee1,discovery-96997129eee1,yakubuadamuphd.com,About Dr. Yakubu Adamu | Political Campaign,https://yakubuadamuphd.com/en/about,,2026-09-24,public_web_page,1b7df52d62e6f683281bfc03ef6392ec2abe300d46ce80c70436c8671ea46da2,source_snapshots/delivery-96997129eee1.html,275,context_only
delivery-54931679470c,source-basg-roads-115,www.bauchistate.gov.ng,Bauchi gov inaugurates construction of 115km rural roads – BASG,https://www.bauchistate.gov.ng/bauchi-gov-inaugurates-construction-of-115km-rural-roads,,2026-09-24,public_web_page,14f58972e9f613fe50f4d9c89c27e80bfd447336a4ca37e757e9f67fe6b32a15,source_snapshots/delivery-54931679470c.html,660,published_source
delivery-8c813b39d043,source-basg-kirfi-road,www.bauchistate.gov.ng,Gov. Bala Mohammed Flags Off Construction Of N18bn Road In Bauchi Community – BASG,https://www.bauchistate.gov.ng/gov-bala-mohammed-flags-off-construction-of-n18bn-road-in-bauchi-community,,2026-09-24,public_web_page,df29078604900403589b95d34e81f460a6b9d2bc718a83c383d2418e4f2a78a1,source_snapshots/delivery-8c813b39d043.html,242,published_source
delivery-bff24983f22c,source-basg-gadau-road,www.bauchistate.gov.ng,BAUCHI STATE GOVERNMENT HOUSE PRESS RELEASE: GOVERNOR BALA FLAGED-OFF 2.5 KM ROAD PROJECT IN THE STATE UNIVERSITY MAIN CAMPUS GADAU – BASG,https://www.bauchistate.gov.ng/bauchi-state-government-house-press-release-governor-bala-flaged-off-2-5-km-road-project-in-the-state-university-main-campus-gadau/,,2026-09-24,public_web_page,44ec944a316acc27f43adbe013a8ec43c4f6a43635035f6ea7556e5373d96052,source_snapshots/delivery-bff24983f22c.html,887,published_source
delivery-33fd05348950,source-cibs,radionigerianortheast.gov.ng,UK-Funded CRIBS Project to Upgrade 24 Schools and Clinics in Five Bauchi LGAs - Radio Nigeria North East Zone,https://radionigerianortheast.gov.ng/?p=4427,2026-05-12,2026-09-24,public_web_page,e84959c428edb8cf6da5bfe3154cfa9bf2b692940648dc0deadca57ae0e3c71c,source_snapshots/delivery-33fd05348950.html,301,published_source
delivery-ca12e78302e9,source-alkaleri-lga,alkaleri-lga.bauchistate.gov.ng,"Alkaleri Residents Hail Bauchi Gov for Roads, Schools, Projects – Alkaleri Local Government",https://alkaleri-lga.bauchistate.gov.ng/alkaleri-residents-hail-bauchi-gov-for-roads-schools-projects/,,2026-09-24,public_web_page,71dbdf20fba14b33e80d814834cacc6e241e675ef68f3588c94940846c94934c,source_snapshots/delivery-ca12e78302e9.html,290,published_source
delivery-103e93618da4,source-bauchi-ward-road,tribuneonlineng.com,"Bauchi Reps member, Aminu Garu, flags off 2km rural road",https://tribuneonlineng.com/bauchi-reps-member-aminu-garu-flags-off-2km-rural-road/,2025-04-06,2026-09-24,public_web_page,79a70720a44bdf61c55e2234742e4bd5dd6a0318b38e6a569e0ffb84ce286362,source_snapshots/delivery-103e93618da4.html,572,published_source
delivery-18fde4a3b67f,source-bogoro-road,thesun.ng,Bauchi residents excited as Governor Bala Mohammed delivers Boi–Tapshin Road Project – The Sun Nigeria,https://thesun.ng/bauchi-residents-excited-as-governor-bala-mohammed-delivers-boi-tapshin-road-project/,2025-09-12,2026-09-24,public_web_page,69eb855120ca2f1cb8ba187db86dad21def433e33a73dc8f2bf4c19b8c353d27,source_snapshots/delivery-18fde4a3b67f.html,522,published_source
delivery-f7de3efd7715,source-dambam-health,tribuneonlineng.com,Bauchi govt reiterates commitment to quality healthcare delivery,https://tribuneonlineng.com/bauchi-govt-reiterates-commitment-to-quality-healthcare-delivery/,2025-09-07,2026-09-24,public_web_page,f51b68753e3a99e6bc524c47e6c46caf9571d771100ee89f0f4845b5ef8cac17,source_snapshots/delivery-f7de3efd7715.html,504,published_source
